index,key,value,p-value,test-statistic,critical-values
218,RSVRW,TSHA,0.023828283535881307,-3.609762380531426,[-3.94060523 -3.36058133 -3.06139039]
219,RWAYL,TRS,0.0026150593372807154,-4.294113092107084,[-3.94060523 -3.36058133 -3.06139039]
220,RWAYZ,TRS,0.018880353828678344,-3.6899015614043424,[-3.94060523 -3.36058133 -3.06139039]
221,RWTN,TRS,0.005551113314303067,-4.077474664373272,[-3.94490422 -3.36294177 -3.06302239]
222,SAIHW,TSHA,0.018300521444484012,-3.7004589545651014,[-3.94151394 -3.36108055 -3.0617356 ]
223,SAJ,TRS,0.0022868497976569375,-4.331343746185182,[-3.94060523 -3.36058133 -3.06139039]
224,SAR,TRS,0.01053413056837588,-3.881013018785665,[-3.94060523 -3.36058133 -3.06139039]
225,SAY,TRS,0.01437399218744887,-3.780841762012593,[-3.94060523 -3.36058133 -3.06139039]
226,SCS,TRIN,0.013522246247287302,-3.8008085858271867,[-3.94060523 -3.36058133 -3.06139039]
227,SEG,THR,0.04960468735927817,-3.3388983115870965,[-4.00378481 -3.39494029 -3.08508909]
228,SEVN,TRIN,0.007175290318711458,-4.00025530498143,[-3.94060523 -3.36058133 -3.06139039]
229,SGML,TRIN,0.0012268591887603835,-4.499527748540378,[-3.94060523 -3.36058133 -3.06139039]
230,SGMT,TSE,0.004940076559055479,-4.111960616310065,[-3.94060523 -3.36058133 -3.06139039]
231,SGU,TGE,0.0013886071210828298,-4.46666010647484,[-4.09169685 -3.44165109 -3.11711613]
232,SHCO,TSE,0.02054268255004841,-3.661129718508791,[-3.94060523 -3.36058133 -3.06139039]
233,SIMAW,TSHA,1.1230513011722408e-05,-5.600179989966437,[-4.03157132 -3.40983626 -3.09532596]
234,SJ,TSHA,0.013336603593039974,-3.805307670985278,[-3.94060523 -3.36058133 -3.06139039]
235,SNTG,TSHA,0.011303799942793144,-3.858587955782089,[-3.94060523 -3.36058133 -3.06139039]
236,SOND,TSHA,0.015700225739404564,-3.751739416899169,[-3.94060523 -3.36058133 -3.06139039]
237,SONDW,TRUG,0.0008039117458529577,-4.6097357737569284,[-3.94060523 -3.36058133 -3.06139039]
238,SPMA,TRS,0.022166881236826905,-3.634911604430631,[-4.23672041 -3.51627408 -3.16784755]
239,SRZN,TGE,0.004925658888684392,-4.112820299300765,[-4.09169685 -3.44165109 -3.11711613]
240,STI,TSHA,0.0002324304346816281,-4.917874734555435,[-3.94060523 -3.36058133 -3.06139039]
241,STWD,TSLX,0.023732883888486277,-3.6111647820302064,[-3.94060523 -3.36058133 -3.06139039]
242,SUNS,TRIN,0.014623895597881867,-3.775181847034524,[-3.98846223 -3.3866712  -3.07939668]
243,SWIN,TSHA,0.004717845067585134,-4.125473263915771,[-3.94060523 -3.36058133 -3.06139039]
244,SYNX,TSHA,0.01309062567372192,-3.81135517563154,[-3.94207733 -3.36138999 -3.06194956]
245,SYTAW,TSHA,1.9844149995837357e-05,-5.477935025092332,[-3.94060523 -3.36058133 -3.06139039]
246,TC,TSHA,0.024527097278355718,-3.5996348735111843,[-3.94060523 -3.36058133 -3.06139039]
247,TENX,TSE,0.04001707298402842,-3.4215085555978675,[-3.94060523 -3.36058133 -3.06139039]
248,TFSL,TRIN,0.02897707102063374,-3.5404134667857545,[-3.94060523 -3.36058133 -3.06139039]
249,TLS,TSHA,0.0015378909977400842,-4.439351267333645,[-3.94060523 -3.36058133 -3.06139039]
250,TNXP,TSHA,0.01586146729035162,-3.748350274758396,[-3.94060523 -3.36058133 -3.06139039]
251,TPGXL,TRS,0.004050609592733197,-4.169851677436069,[-3.94986831 -3.36566319 -3.06490325]
252,TRINZ,TRS,0.008023198688316479,-3.966047935603399,[-3.9550103  -3.36847742 -3.06684745]
253,TTSH,UFI,0.0037475009835651486,-4.192265666846005,[-3.94060523 -3.36058133 -3.06139039]
254,TUYA,WALDW,0.04669026745685303,-3.3624947258217586,[-3.94060523 -3.36058133 -3.06139039]
255,TVGNW,WALDW,0.0361116656347595,-3.4599816874579528,[-3.94060523 -3.36058133 -3.06139039]
256,TWG,UTSI,0.03377680737541012,-3.4846913813378264,[-3.95867018 -3.37047758 -3.06822875]
