,ticker1,ticker2,cashWallet,startDate,endDate,SharesOwnedT1,SharesOwnedT2,percentChange
109,KITTW,NAKA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
110,KLTOW,NAKA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
111,LFT,NAKA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
112,LION,MSC,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
113,LPA,MRNO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
114,LPAAW,NAKA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
115,LPTX,NAKA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
116,LSH,NAKA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
117,LUCK,MRC,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
118,LUCYW,NAKA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
119,MBAV,MRNO,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
120,MBINM,MSBIP,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
121,MEGL,NAKA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
122,METCL,MSBIP,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
123,MFAN,MSBIP,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
124,MFI,NAKA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
125,MGIH,NAKA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
126,MITQ,NAKA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
127,MLEC,NAKA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
128,MLECW,NAKA,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
129,NEUP,OPI,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
130,NEWTG,ONBPP,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
131,NKSH,OS,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
132,NMR,ONL,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
133,NVCT,OCCI,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
134,NVVEW,OPI,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
135,NWTNW,OPI,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
136,NYMTI,ONBPP,1000,2025-08-01 13:00:00,2025-08-01 21:00:00,0,0,1.0
